Program,Code,Title,Sec,Room 1,Room 2,Day 1,Day 2,Time 1,Time 2,Faculty,Initial,Credits
BSCSE,ACT 2111,Financial and Managerial Accounting,B,304,304,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Israt Jabin,ItJn,3
BSCSE,ACT 2111,Financial and Managerial Accounting,C,303,303,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Ishrat Jahan,IJ,3
BSCSE,ACT 2111,Financial and Managerial Accounting,A,303,303,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Ishrat Jahan,IJ,3
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AC,303,303,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Al Jamal Mustafa Shindaini,AJMSh,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AD,303,303,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Mabia Momen,MaMmn,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AE,303,303,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Abdur Rahman Sajan,ARSj,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AF,303,303,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Abdur Rahman Sajan,ARSj,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AG,304,304,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Mabia Momen,MaMmn,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AH,304,304,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Masud Rana,MRana,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AI,303,303,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Masud Rana,MRana,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AJ,303,303,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Sajedur Rahman,SaRhn,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AK,304,304,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Sajedur Rahman,SaRhn,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AL,304,304,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Abdur Rahman Sajan,ARSj,2
